index,Row ID,Opportunity ID,Created Date,Closed Date,Stage,Opportunity Name,Sales
0,7181,CA-2016-106054,01/07/2020,01/08/2020,Closed Lost,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",12.78
1,7981,CA-2016-103800,01/04/2020,01/08/2020,Closed Won,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16448.00
2,740,CA-2016-112326,01/05/2020,01/09/2020,Closed Won,Avery 508,11784.00
3,741,CA-2016-112326,01/05/2020,01/09/2020,Closed Won,SAFCO Boltless Steel Shelving,272736.00
4,742,CA-2016-112326,01/05/2020,01/09/2020,Closed Won,GBC Standard Plastic Binding Systems Combs,3540.00
5,5328,CA-2016-130813,01/07/2020,01/09/2020,Negotiating,Xerox 225,19.44
6,7475,CA-2016-167199,01/07/2020,01/11/2020,Closed Won,Global Deluxe High-Back Manager's Chair,2573.82
7,7476,CA-2016-167199,01/07/2020,01/11/2020,Closed Won,Ibico Hi-Tech Manual Binding System,609.98
8,7477,CA-2016-167199,01/07/2020,01/11/2020,Closed Won,Rogers Handheld Barrel Pencil Sharpener,5.48
9,7478,CA-2016-167199,01/07/2020,01/11/2020,Closed Won,GE 30524EE4,391.98
10,7479,CA-2016-167199,01/07/2020,01/11/2020,Closed Won,Wireless Extenders zBoost YX545 SOHO Signal Booster,755.96
11,7480,CA-2016-167199,01/07/2020,01/11/2020,Closed Won,"Alliance Super-Size Bands, Assorted Sizes",31.12
12,7481,CA-2016-167199,01/07/2020,01/11/2020,Closed Won,Southworth 25% Cotton Granite Paper & Envelopes,6.54
13,1760,CA-2016-141817,01/06/2020,01/13/20,Closed Won,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",19536.00
14,7661,CA-2016-105417,01/08/2020,01/13/20,Closed Won,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",7672.80
15,7662,CA-2016-105417,01/08/2020,01/13/20,Closed Won,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10430.00
16,593,CA-2016-135405,01/10/2020,01/14/20,Closed Won,Newell 312,9344.00
17,594,CA-2016-135405,01/10/2020,01/14/20,Closed Won,Memorex Micro Travel Drive 8 GB,31200.00
18,717,CA-2016-130092,01/12/2020,01/15/20,Closed Lost,"DAX Value U-Channel Document Frames, Easel Back",9.94
19,764,CA-2016-162775,01/14/20,01/16/20,Negotiating,Staple envelope,11.36
20,765,CA-2016-162775,01/14/20,01/16/20,Negotiating,Brown Kraft Recycled Envelopes,50.94
21,766,CA-2016-162775,01/14/20,01/16/20,Negotiating,Plantronics S12 Corded Telephone Headset System,646.74
22,767,CA-2016-162775,01/14/20,01/16/20,Negotiating,3-ring staple pack,5.64
23,768,CA-2016-162775,01/14/20,01/16/20,Negotiating,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58
24,866,CA-2016-149020,01/11/2020,01/16/20,Closed Won,Avery 482,2.89
25,867,CA-2016-149020,01/11/2020,01/16/20,Closed Won,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94
26,6475,CA-2016-149524,01/15/20,01/16/20,Closed Lost,Sauder Cornerstone Collection Library,61.96
27,2979,CA-2016-109232,01/14/20,01/17/20,Negotiating,Global Highback Leather Tilter in Burgundy,545.94
28,1914,CA-2016-103366,01/16/20,01/18/20,Closed Lost,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95
29,971,CA-2016-115791,01/17/20,01/19/20,Negotiating,DAX Black Cherry Wood-Tone Poster Frame,127104.00
30,972,CA-2016-115791,01/17/20,01/19/20,Negotiating,AT&T 841000 Phone,124.20
31,973,CA-2016-115791,01/17/20,01/19/20,Negotiating,GBC Linen Binding Covers,18588.00
32,974,CA-2016-115791,01/17/20,01/19/20,Negotiating,Round Specialty Laser Printer Labels,30072.00
33,4938,CA-2016-157147,01/14/20,01/19/20,Closed Won,Tennsco 6- and 18-Compartment Lockers,1325.85
34,4939,CA-2016-157147,01/14/20,01/19/20,Closed Won,"O'Sullivan Elevations Bookcase, Cherry Finish",333999.00
35,4940,CA-2016-157147,01/14/20,01/19/20,Closed Won,4009 Highlighters by Sanford,19.90
36,9629,CA-2016-118192,01/14/20,01/19/20,Closed Won,Xerox 1923,37408.00
37,9630,CA-2016-118192,01/14/20,01/19/20,Closed Won,Avery Metallic Poly Binders,34380.00
38,5463,CA-2016-146591,01/20/20,01/21/20,Closed Lost,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34
39,5464,CA-2016-146591,01/20/20,01/21/20,Closed Lost,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56064.00
40,5465,CA-2016-146591,01/20/20,01/21/20,Closed Lost,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72
41,5466,CA-2016-146591,01/20/20,01/21/20,Closed Lost,O'Sullivan 4-Shelf Bookcase in Odessa Pine,18147.00
42,5365,CA-2016-123477,01/19/20,01/22/20,Negotiating,Fellowes Mighty 8 Compact Surge Protector,64864.00
43,9990,CA-2016-110422,01/22/20,01/24/20,Negotiating,Ultra Door Pull Handle,25248.00
